Date,OrderID,Product,Category,Region,Quantity,UnitPrice,Revenue,Cost,Profit,Discount,CustomerID,CustomerSegment
2023-01-10,ORD-16725,Travel Mug,Accessories,North America,4,13.87,55.48,25.04,30.44,0.0,CUST-3972,Enterprise
2023-01-12,ORD-10639,4K Monitor,Electronics,North America,3,326.91,980.73,853.77,126.96,25.0,CUST-1462,Government
2023-01-13,ORD-20547,Premium Jacket,Clothing,Asia Pacific,1,112.72,112.72,70.3,42.42,0.0,CUST-3709,SMB
2023-01-15,ORD-21159,USB-C Hub,Electronics,North America,2,36.63,73.26,37.64,35.62,15.0,CUST-2466,Consumer
2023-01-17,ORD-18555,4K Monitor,Electronics,Asia Pacific,1,276.89,276.89,280.9,-4.01,0.0,CUST-2671,Enterprise
2023-01-18,ORD-19599,Design Suite License,Software & Services,North America,1,265.88,265.88,45.9,219.98,0.0,CUST-4508,SMB
2023-01-23,ORD-15137,Running Shoes,Clothing,Europe,3,117.58,352.74,139.41,213.33,0.0,CUST-2255,SMB
2023-01-24,ORD-18127,Premium Jacket,Clothing,Middle East,3,164.75,494.25,221.16,273.09,25.0,CUST-3736,Consumer
2023-01-27,ORD-12135,Winter Hoodie,Clothing,North America,1,44.09,44.09,20.44,23.65,0.0,CUST-3037,SMB
2023-01-27,ORD-13025,Travel Mug,Accessories,Europe,5,15.59,77.95,29.6,48.35,0.0,CUST-3408,SMB
2023-01-27,ORD-17429,Denim Jeans,Clothing,Latin America,1,48.08,48.08,23.55,24.53,20.0,CUST-4396,Government
2023-01-31,ORD-12903,Portable SSD 1TB,Electronics,Latin America,1,64.81,64.81,54.96,9.85,0.0,CUST-3856,Consumer
2023-02-01,ORD-18361,Coffee Maker Pro,Home & Office,North America,2,102.33,204.66,125.74,78.92,15.0,CUST-4546,Consumer
2023-02-02,ORD-16579,Portable SSD 1TB,Electronics,Europe,1,86.62,86.62,56.59,30.03,15.0,CUST-4121,Consumer
2023-02-02,ORD-21430,Sports Shorts,Clothing,North America,1,30.08,30.08,11.65,18.43,0.0,CUST-2058,Enterprise
2023-02-03,ORD-10446,Wireless Earbuds,Electronics,North America,1,65.48,65.48,33.25,32.23,20.0,CUST-1334,SMB
2023-02-03,ORD-16141,Design Suite License,Software & Services,Europe,1,252.47,252.47,44.33,208.14,0.0,CUST-3567,Enterprise
2023-02-05,ORD-11048,Cloud Storage Plan,Software & Services,Europe,3,80.92,242.76,46.5,196.26,0.0,CUST-3319,Enterprise
2023-02-06,ORD-20667,Travel Mug,Accessories,North America,3,15.03,45.09,18.84,26.25,0.0,CUST-1288,Government
2023-02-06,ORD-17354,Travel Mug,Accessories,North America,2,14.98,29.96,12.22,17.74,15.0,CUST-3167,Consumer
2023-02-06,ORD-11256,Running Shoes,Clothing,Asia Pacific,2,85.56,171.12,97.96,73.16,20.0,CUST-3025,Consumer
2023-02-06,ORD-13919,Sports Shorts,Clothing,North America,1,32.77,32.77,11.99,20.78,0.0,CUST-1403,Consumer
2023-02-07,ORD-13052,Cloud Storage Plan,Software & Services,North America,1,85.7,85.7,14.49,71.21,20.0,CUST-3091,SMB
2023-02-07,ORD-18245,Coffee Maker Pro,Home & Office,Europe,1,134.36,134.36,68.04,66.32,0.0,CUST-1036,Consumer
2023-02-09,ORD-10566,Casual T-Shirt,Clothing,Europe,5,27.92,139.6,46.2,93.4,20.0,CUST-1537,Enterprise
2023-02-09,ORD-10662,Bookshelf Organizer,Home & Office,North America,4,65.65,262.6,149.84,112.76,25.0,CUST-4610,Consumer
2023-02-09,ORD-17752,VPN Annual Sub,Software & Services,Middle East,3,59.16,177.48,28.86,148.62,25.0,CUST-4109,SMB
2023-02-11,ORD-18667,Winter Hoodie,Clothing,Europe,3,56.44,169.32,63.39,105.93,20.0,CUST-1245,Consumer
2023-02-11,ORD-19323,Coffee Maker Pro,Home & Office,Europe,1,134.5,134.5,62.42,72.08,25.0,CUST-1765,Consumer
2023-02-12,ORD-14064,Premium Jacket,Clothing,North America,1,151.76,151.76,71.67,80.09,0.0,CUST-1386,SMB
2023-02-13,ORD-18080,Cloud Storage Plan,Software & Services,Europe,1,82.69,82.69,14.74,67.95,0.0,CUST-4172,Enterprise
2023-02-13,ORD-12064,Project Mgmt Tool,Software & Services,Europe,3,125.98,377.94,66.15,311.79,0.0,CUST-3748,SMB
2023-02-16,ORD-21336,Mechanical Keyboard,Electronics,Asia Pacific,7,97.7,683.9,386.26,297.64,0.0,CUST-4540,Government
2023-02-16,ORD-16923,Leather Wallet,Accessories,North America,1,46.43,46.43,15.69,30.74,0.0,CUST-2016,Consumer
2023-02-16,ORD-18314,Travel Mug,Accessories,North America,1,13.11,13.11,6.15,6.96,15.0,CUST-1234,SMB
2023-02-17,ORD-21178,Ergonomic Chair,Home & Office,Middle East,1,390.43,390.43,219.43,171.0,0.0,CUST-3757,Consumer
2023-02-17,ORD-14845,Travel Mug,Accessories,Europe,2,15.37,30.74,12.46,18.28,0.0,CUST-4295,SMB
2023-02-17,ORD-14866,Coffee Maker Pro,Home & Office,Europe,3,114.49,343.47,194.52,148.95,0.0,CUST-2761,SMB
2023-02-17,ORD-10323,4K Monitor,Electronics,North America,1,322.16,322.16,293.68,28.48,0.0,CUST-2942,SMB
2023-02-18,ORD-13883,Smart Watch Ultra,Electronics,Europe,2,292.21,584.42,378.28,206.14,5.0,CUST-2595,Consumer
2023-02-18,ORD-18038,Smart Watch Ultra,Electronics,Asia Pacific,1,239.95,239.95,195.25,44.7,0.0,CUST-4974,Government
2023-02-18,ORD-20131,Denim Jeans,Clothing,Europe,6,60.71,364.26,137.82,226.44,0.0,CUST-4882,Enterprise
2023-02-19,ORD-17288,Backpack Elite,Accessories,Middle East,1,70.42,70.42,33.66,36.76,15.0,CUST-1162,Consumer
2023-02-21,ORD-12706,Backpack Elite,Accessories,Asia Pacific,2,62.55,125.1,67.88,57.22,0.0,CUST-4745,SMB
2023-02-21,ORD-16642,Bookshelf Organizer,Home & Office,Europe,15,87.01,1305.15,569.1,736.05,0.0,CUST-4778,SMB
2023-02-22,ORD-16742,Gaming Mouse,Electronics,North America,1,51.85,51.85,28.37,23.48,0.0,CUST-4552,Consumer
2023-02-22,ORD-10912,Travel Mug,Accessories,Europe,4,16.52,66.08,24.12,41.96,0.0,CUST-1523,SMB
2023-02-22,ORD-16889,Ergonomic Chair,Home & Office,North America,1,377.42,377.42,204.62,172.8,0.0,CUST-1758,SMB
2023-02-23,ORD-15107,Smart Watch Ultra,Electronics,Europe,1,314.03,314.03,193.71,120.32,0.0,CUST-2694,Enterprise
2023-02-23,ORD-18900,Gaming Mouse,Electronics,Asia Pacific,2,49.75,99.5,57.62,41.88,0.0,CUST-1155,Consumer
2023-02-24,ORD-15035,Wireless Earbuds,Electronics,North America,2,64.46,128.92,66.0,62.92,0.0,CUST-2513,Government
2023-02-24,ORD-12740,Denim Jeans,Clothing,North America,3,53.56,160.68,68.88,91.8,10.0,CUST-1626,SMB
2023-02-24,ORD-14513,Portable SSD 1TB,Electronics,North America,1,93.63,93.63,54.4,39.23,0.0,CUST-1113,Consumer
